player_id,goals_p90,assists_p90,yellows_p90,reds_p90,euro_bonus,ambi_bonus,height_bonus,contract_bonus,gem_score,market_value_in_eur,name,sub_position,age,height_in_cm,image_url,current_club_name,url
644401,0.18367346938775522,0.07346938775510205,0.001469387755102041,0.0,0.0,0.0,0.0,0.0,1.1373061224489802,15000000,Keane Lewis-Potter,Left Winger,23,170,https://img.a.transfermarkt.technology/portrait/header/644401-1642684319.jpg?lm=1,Brentford Football Club,https://www.transfermarkt.co.uk/keane-lewis-potter/profil/spieler/644401
649490,0.12042818911685985,0.17395182872435305,0.0011775200713648527,0.0,0.0,0.0,0.0,0.0,1.1228189116859935,700000,Konan N’Dri,Right Winger,23,174,https://img.a.transfermarkt.technology/portrait/header/649490-1713338739.png?lm=1,Oud-Heverlee Leuven,https://www.transfermarkt.co.uk/konan-ndri/profil/spieler/649490
666616,0.1614510663743274,0.1435120589994021,0.002214692268509291,0.0,0.0,0.0,0.0,0.0,1.235576816601334,2800000,Olakunle Olusegun,Left Winger,22,167,https://img.a.transfermarkt.technology/portrait/header/666616-1652945115.png?lm=1,FK Krasnodar,https://www.transfermarkt.co.uk/olakunle-olusegun/profil/spieler/666616
673114,0.49129989764585486,0.33776867963152557,0.002865916069600819,0.0,0.0,0.0,0.0,0.0,3.4669396110542503,1800000,Yaroslav Gladyshev,Centre-Forward,21,181,https://img.a.transfermarkt.technology/portrait/header/673114-1721728053.png?lm=1,FK Dinamo Moskva,https://www.transfermarkt.co.uk/yaroslav-gladyshev/profil/spieler/673114
700106,0.2066590126291619,0.15499425947187145,0.008333024702788787,0.0,0.0,0.0,0.0,0.0,1.4899448168586351,20000000,Brajan Gruda,Right Winger,20,178,https://img.a.transfermarkt.technology/portrait/header/700106-1699001685.jpg?lm=1,Brighton and Hove Albion Football Club,https://www.transfermarkt.co.uk/brajan-gruda/profil/spieler/700106
721470,0.21488261042578574,0.2506963788300834,0.004178272980501393,0.0,0.0,0.0,0.0,1.0,2.3223239156386777,2500000,Patrik Walemark,Right Winger,22,184,https://img.a.transfermarkt.technology/portrait/header/721470-1658172941.jpg?lm=1,Sportclub Heerenveen,https://www.transfermarkt.co.uk/patrik-walemark/profil/spieler/721470
730126,0.27403218790778583,0.03914745541539805,0.005709003914745541,0.0,0.0,0.0,1.0,1.0,2.981894301870378,1500000,Mykola Kukharevych,Centre-Forward,23,191,https://img.a.transfermarkt.technology/portrait/header/730126-1612035668.png?lm=1,Hibernian Football Club,https://www.transfermarkt.co.uk/mykola-kukharevych/profil/spieler/730126
735571,0.41341295360587965,0.04134129536058798,0.0023623597348907408,0.0,0.0,0.0,1.0,0.0,3.1887262943762713,20000000,Rodrigo Muniz,Centre-Forward,23,186,https://img.a.transfermarkt.technology/portrait/header/735571-1657802369.jpg?lm=1,Fulham Football Club,https://www.transfermarkt.co.uk/rodrigo-muniz/profil/spieler/735571
742506,0.07366482504604041,0.16574585635359126,0.001556299120690997,0.0,0.0,0.0,0.0,0.0,0.8640053951702849,1500000,Fábio Ronaldo,Right Winger,23,178,https://img.a.transfermarkt.technology/portrait/header/742506-1676548424.jpg?lm=1,Rio Ave Futebol Clube,https://www.transfermarkt.co.uk/fabio-ronaldo/profil/spieler/742506
748382,0.25875588081547296,0.1881860951385259,0.0003675509670674333,0.0,0.0,0.0,1.0,1.0,3.357970138525875,4000000,Amin Sarr,Centre-Forward,23,188,https://img.a.transfermarkt.technology/portrait/header/748382-1695624167.jpg?lm=1,Verona Hellas Football Club,https://www.transfermarkt.co.uk/amin-sarr/profil/spieler/748382
